"Contour","Description des séries","Déviation standard (BQML)","Max (BQML)","Min (BQML)","Moyenne (BQML)","Volume (ml)"
"médiastin","3i5s_G2","350,87","3444,39","622,92","1414,54","54,23"
"","3i5s_G4","186,7","2125,05","916,35","1416,83","54,23"
"","4i5s_G0","620,21","5705,51","292,19","1410,26","54,23"
"","4i5s_G2","429,7","4041,26","511,57","1411,96","54,23"
"","4i5s_G4","215,51","2227,22","847,91","1414,81","54,23"
"","5i5s_G0","620,21","5705,51","292,19","1410,26","54,23"
"","5i5s_G2","429,7","4041,26","511,57","1411,96","54,23"
"","5i5s_G4","237,03","2311,87","790,15","1414,18","54,23"
"","6i5s_G0","833,24","7854,93","138,99","1408,69","54,23"
"","6i5s_G2","552,12","5149,9","360,38","1410,73","54,23"
"","6i5s_G4","252,91","2390,57","747,49","1414,22","54,23"
"","3i5s_G0","492,28","4561,27","421,99","1413,13","54,23"
"Fond Foie","3i5s_G2","632,61","6739,29","2081,98","3693,74","28,09"
"","3i5s_G4","335,87","4962,82","2776,48","3686,95","28,09"
"","4i5s_G0","1127,95","9986,89","1084,89","3696,42","28,09"
"","4i5s_G2","775,98","7731,76","1815,03","3691,79","28,09"
"","4i5s_G4","386,71","5160,42","2628,31","3683,82","28,09"
"","5i5s_G0","1127,95","9986,89","1084,89","3696,42","28,09"
"","5i5s_G2","775,98","7731,76","1815,03","3691,79","28,09"
"","5i5s_G4","426,04","5311,86","2514,93","3685,37","28,09"
"","6i5s_G0","1532,25","13122,4","691,12","3703,27","28,09"
"","6i5s_G2","1009,5","9563,45","1430,45","3697,74","28,09"
"","6i5s_G4","456,61","5425,33","2427,41","3688,08","28,09"
"","3i5s_G0","893,94","8340,63","1412,32","3697,74","28,09"
"T1 - 5mm","3i5s_G2","673,01","3053,54","720,9","1716,04","0,08"
"","3i5s_G4","164,8","1475,85","954,41","1281,06","0,08"
"","4i5s_G0","1615,79","5491,63","464,29","2092,5","0,08"
"","4i5s_G2","863,07","3619,54","696,12","1881,2","0,08"
"","4i5s_G4","190,72","1611,26","1009,14","1378,05","0,08"
"","5i5s_G0","1615,79","5491,63","464,29","2092,5","0,08"
"","5i5s_G2","863,07","3619,54","696,12","1881,2","0,08"
"","5i5s_G4","203,9","1679,1","1028,46","1423,07","0,08"
"","6i5s_G0","2088,31","6627,81","364,37","2225,32","0,08"
"","6i5s_G2","1076,83","4201,18","637,39","1997,63","0,08"
"","6i5s_G4","210,57","1714,52","1034,24","1444,28","0,08"
"","3i5s_G0","1222,06","4464,17","526,77","1900,19","0,08"
"T2 - 6 mm","3i5s_G2","736,38","4393,64","1631,12","2895,94","0,11"
"","3i5s_G4","287,55","2844,94","1791,18","2447,55","0,11"
"","4i5s_G0","1391,79","6349,02","1157,63","3126,16","0,11"
"","4i5s_G2","865,67","4850,97","1573,82","2990,52","0,11"
"","4i5s_G4","308,41","2949,03","1859,28","2517,53","0,11"
"","5i5s_G0","1391,79","6349,02","1157,63","3126,16","0,11"
"","5i5s_G2","865,67","4850,97","1573,82","2990,52","0,11"
"","5i5s_G4","321,28","2992,79","1860,57","2543,03","0,11"
"","6i5s_G0","1729,75","7345,42","819,74","3172,88","0,11"
"","6i5s_G2","1035,69","5394,31","1440,66","3042,71","0,11"
"","6i5s_G4","330,63","3013,85","1852,42","2553,17","0,11"
"","3i5s_G0","1143","5572,95","1354,51","3030,56","0,11"
"T3 - 8 mm","3i5s_G2","1127,27","6519,7","1638,29","4011,83","0,25"
"","3i5s_G4","564,75","4580,52","2101,82","3358,87","0,25"
"","4i5s_G0","1906,69","9767,43","1125,44","4344,49","0,25"
"","4i5s_G2","1243,9","7071,53","1625,62","4100,84","0,25"
"","4i5s_G4","591,29","4709,14","2147,85","3421,76","0,25"
"","5i5s_G0","1906,69","9767,43","1125,44","4344,49","0,25"
"","5i5s_G2","1243,9","7071,53","1625,62","4100,84","0,25"
"","5i5s_G4","602,29","4751,08","2119,23","3439,21","0,25"
"","6i5s_G0","2253,41","10852,46","831,26","4378,37","0,25"
"","6i5s_G2","1373,28","7567,35","1473,83","4135,13","0,25"
"","6i5s_G4","607,86","4764,71","2083,41","3443,11","0,25"
"","3i5s_G0","1636,7","8695,42","1315,79","4248,19","0,25"
"T4 - 10 mm","3i5s_G2","1504,29","7933,09","1404,63","4438,65","0,52"
"","3i5s_G4","919,31","5790,7","1932,29","3828,1","0,52"
"","4i5s_G0","2050,57","10056,22","957,68","4771,89","0,52"
"","4i5s_G2","1590,85","8436,78","1299,69","4531,61","0,52"
"","4i5s_G4","947,99","5879,26","1920,35","3893,56","0,52"
"","5i5s_G0","2050,57","10056,22","957,68","4771,89","0,52"
"","5i5s_G2","1590,85","8436,78","1299,69","4531,61","0,52"
"","5i5s_G4","958,01","5886,54","1901,53","3914,18","0,52"
"","6i5s_G0","2277,9","10592,14","735,27","4831,89","0,52"
"","6i5s_G2","1682,05","8873,32","1144,08","4580,97","0,52"
"","6i5s_G4","962,17","5873,62","1882,04","3920,64","0,52"
"","3i5s_G0","1883,28","9382,79","1113,05","4666,77","0,52"
"Rachis - 8mm","3i5s_G2","954,77","5903,68","1978,16","4081,42","0,28"
"","3i5s_G4","589,79","4681,59","1856,67","3459,98","0,28"
"","4i5s_G0","1472,92","7219,1","1278,97","4650,21","0,28"
"","4i5s_G2","1095,16","6485,76","2034,93","4405,59","0,28"
"","4i5s_G4","647,88","5064,23","1905,02","3705,36","0,28"
"","5i5s_G0","1472,92","7219,1","1278,97","4650,21","0,28"
"","5i5s_G2","1095,16","6485,76","2034,93","4405,59","0,28"
"","5i5s_G4","671,98","5223,49","1906,24","3808,11","0,28"
"","6i5s_G0","1770,44","8278,05","815,52","4875,16","0,28"
"","6i5s_G2","1230,74","6829,58","2043,74","4607,53","0,28"
"","6i5s_G4","682,72","5290,42","1893,74","3851,63","0,28"
"","3i5s_G0","1230","6434,01","1565,79","4296,25","0,28"
"Foie - 8 mm","3i5s_G2","1641,31","9761,5","3602,64","6199,36","0,28"
"","3i5s_G4","988,82","7470,19","3970,11","5733,7","0,28"
"","4i5s_G0","2421,91","12689,06","3006,13","6593,23","0,28"
"","4i5s_G2","1889,51","10635,22","3534,01","6421,71","0,28"
"","4i5s_G4","1098,57","7901","3976,46","5905,23","0,28"
"","5i5s_G0","2421,91","12689,06","3006,13","6593,23","0,28"
"","5i5s_G2","1889,51","10635,22","3534,01","6421,71","0,28"
"","5i5s_G4","1164,54","8149,75","3974,83","5991,1","0,28"
"","6i5s_G0","2935,71","14463,55","2394,34","6773,18","0,28"
"","6i5s_G2","2191,71","11763,99","3283,37","6591,36","0,28"
"","6i5s_G4","1206,19","8298,79","3971,67","6036,07","0,28"
"","3i5s_G0","2046,45","11297,38","3322,64","6354,67","0,28"
"Reins","3i5s_G2","1104,03","15306,72","7656,68","11017,91","12,69"
"","3i5s_G4","599,35","13017,71","9221,58","11018,9","12,69"
"","4i5s_G0","1893,25","18885,48","5906,08","10948,53","12,69"
"","4i5s_G2","1297,95","16097,31","7187,28","10949,82","12,69"
"","4i5s_G4","642,99","13207,56","9062,7","10956,44","12,69"
"","5i5s_G0","1893,25","18885,48","5906,08","10948,53","12,69"
"","5i5s_G2","1297,95","16097,31","7187,28","10949,82","12,69"
"","5i5s_G4","684,06","13362,81","8948,84","10927,32","12,69"
"","6i5s_G0","2462,96","22357,26","4821,69","10900,89","12,69"
"","6i5s_G2","1617,12","17557,52","6513,72","10903,31","12,69"
"","6i5s_G4","718,1","13480,44","8866,81","10913,95","12,69"
"","3i5s_G0","1558,72","17088,45","6675,18","11018,35","12,69"
"CQ Tumeurs","3i5s_G2","568,95","17401,18","13089,06","15413,44","16,76"
"","3i5s_G4","448,87","16195,53","12451,54","15245,43","16,76"
"","4i5s_G0","975,23","19298,39","12131,6","15414,24","16,76"
"","4i5s_G2","646,92","17682,2","12966,13","15375,46","16,76"
"","4i5s_G4","454,8","16197,63","12455,1","15212,55","16,76"
"","5i5s_G0","975,23","19298,39","12131,6","15414,24","16,76"
"","5i5s_G2","646,92","17682,2","12966,13","15375,46","16,76"
"","5i5s_G4","464,74","16252,09","12446,8","15205,4","16,76"
"","6i5s_G0","1227,46","20356,09","11306,29","15408,8","16,76"
"","6i5s_G2","769,32","18246,24","12747,02","15368,53","16,76"
"","6i5s_G4","471,33","16297,4","12440,72","15204,43","16,76"
"","3i5s_G0","821,17","18660,5","12673,54","15453,03","16,76"
