,Itération,Gaussien (mm),Tumeur,Concentration (Bq/mL),Volume (mL),Ecart concentration (Bq/mL),Ecart concentration carré (Bq/mL)^2,CNR Tumeur,CNR Tumeur volumique,SNR Tumeur
0,3,0,T Rachis,3955.13,0.18,14044.869999999999,197258373.31689999,5.205607684770022,28.92004269316679,8.808229652284943
1,3,0,T1,6959.7,0.18,11040.3,121888224.08999999,11.896902930783622,66.09390517102013,15.499524898298542
2,3,0,T2,6105.87,0.09,11894.130000000001,141470328.45690003,9.995390028803042,111.0598892089227,13.598011996317963
3,3,0,T3,4027.11,0.07,13972.89,195241654.95209998,5.365909968227574,76.65585668896533,8.968531935742496
4,3,0,T4,2613.86,0.03,15386.14,236733304.0996,2.2185467826706655,73.95155942235552,5.8211687501855875
5,3,0,T Foie,6798.61,0.28,11201.39,125471137.93209998,3.2233723844494953,11.512044230176768,7.92517339861281
6,3,2,T Rachis,3794.15,0.18,14205.85,201806174.2225,6.910865012375452,38.393694513196955,12.039569715047278
7,3,2,T1,6539.98,0.18,11460.02,131332058.40040001,15.623913181443164,86.79951767468425,20.752617884114994
8,3,2,T2,5624.51,0.09,12375.49,153152752.7401,12.718950307799707,141.3216700866634,17.847655010471534
9,3,2,T3,3790.59,0.07,14209.41,201907332.5481,6.899568445770133,98.56526351100189,12.028273148441961
10,3,2,T4,2534.76,0.03,15465.24,239173648.25759998,2.9145776480294474,97.15258826764826,8.043282350701276
11,3,2,T Foie,6641.45,0.28,11358.55,129016658.10249998,4.224525519052173,15.087591139472044,10.764274947730108
12,3,4,T Rachis,3329.13,0.18,14670.869999999999,215234426.55689996,10.413363281329044,57.852018229605804,20.209615734838827
13,3,4,T1,5435.46,0.18,12564.54,157867665.41160002,23.199923106497504,128.88846170276392,32.99617556000729
14,3,4,T2,4456.0,0.09,13544.0,183439936.0,17.254072320362614,191.7119146706957,27.0503247738724
15,3,4,T3,3147.03,0.07,14852.97,220610717.8209,9.30791800724418,132.9702572463454,19.104170460753963
16,3,4,T4,2294.65,0.03,15705.35,246658018.6225,4.133511402497016,137.7837134165672,13.929763856006801
17,3,4,T Foie,6209.72,0.28,11790.279999999999,139010702.47839996,6.665837632031443,23.806562971540867,19.066936870547778
18,4,0,T Rachis,4288.86,0.18,13711.14,187995360.0996,4.718005794643489,26.211143303574936,7.576955692177231
19,4,0,T1,7095.64,0.18,10904.36,118905067.00960001,9.676630626810828,53.759059037837936,12.53558052434457
20,4,0,T2,6340.32,0.09,11659.68,135948137.7024,8.342237297717476,92.69152553019418,11.201187195251219
21,4,0,T3,4181.85,0.07,13818.15,190941269.42249998,4.528955550844465,64.69936501206378,7.387905448378207
22,4,0,T4,2653.54,0.03,15346.46,235513834.53159997,1.8289520175252634,60.96506725084212,4.687901915059006
23,4,0,T Foie,7077.2,0.28,10922.8,119307559.83999999,2.8066458560372376,10.02373520013299,6.536138458412605
24,4,2,T Rachis,4101.31,0.18,13898.689999999999,193173583.71609998,6.436098015852459,35.75610008806922,10.6235041185308
25,4,2,T1,6659.15,0.18,11340.85,128614878.72250001,13.061596643008857,72.56442579449364,17.249002745687196
26,4,2,T2,5818.6,0.09,12181.4,148386505.95999998,10.884344402424494,120.93716002693883,15.071750505102834
27,4,2,T3,3931.1,0.07,14068.9,197933947.20999998,5.995207998756669,85.64582855366669,10.18261410143501
28,4,2,T4,2573.09,0.03,15426.91,237989552.1481,2.4775941563487542,82.58647187829182,6.665000259027095
29,4,2,T Foie,6899.19,0.28,11100.810000000001,123227982.65610003,3.757814348431872,13.420765530113828,9.068574357895843
30,4,4,T Rachis,3568.35,0.18,14431.65,208272521.7225,10.328618983038906,57.38121657243837,18.854553780580165
31,4,4,T1,5515.88,0.18,12484.119999999999,155853252.17439997,20.619035877203796,114.55019931779887,29.144970674745057
32,4,4,T2,4574.39,0.09,13425.61,180247003.87210003,15.644363034327283,173.8262559369698,24.17029783186854
33,4,4,T3,3241.24,0.07,14758.76,217820996.7376,8.600225443401376,122.86036347716251,17.126160240942635
34,4,4,T4,2319.13,0.03,15680.869999999999,245889683.95689997,3.7279532204942143,124.26510734980715,12.253888018035473
35,4,4,T Foie,6410.37,0.28,11589.630000000001,134319523.5369,6.1536580289312095,21.977350103325747,16.678036216047456
36,5,0,T Rachis,4460.12,0.18,13539.880000000001,183328350.41440004,4.226412381051557,23.480068783619764,6.635009892741852
37,5,0,T1,7131.55,0.18,10868.45,118123205.40250002,8.200512736595213,45.55840409219563,10.609110248285507
38,5,0,T2,6455.82,0.09,11544.18,133268091.8724,7.195276277750505,79.94751419722783,9.6038737894408
39,5,0,T3,4239.57,0.07,13760.43,189349433.7849,3.8983155065629296,55.69022152232756,6.3069130182532245
40,5,0,T4,2649.74,0.03,15350.26,235630482.0676,1.533236141483564,51.10787138278547,3.9418336531738594
41,5,0,T Foie,7231.93,0.28,10768.07,115951331.52489999,2.474723023927009,8.83829651402503,5.6108447382304565
42,5,2,T Rachis,4257.1,0.18,13742.9,188867300.41,5.89655352130503,32.758630673916834,9.508752075407077
43,5,2,T1,6689.54,0.18,11310.46,127926505.41159998,11.329704938538168,62.942805214100936,14.941903492640215
44,5,2,T2,5910.95,0.09,12089.05,146145129.90249997,9.590629211308082,106.56254679231202,13.20282776541013
45,5,2,T3,3985.59,0.07,14014.41,196403687.6481,5.2901028210645435,75.57289744377918,8.90230137516659
46,5,2,T4,2572.42,0.03,15427.58,238010224.6564,2.1336152660616032,71.12050886872011,5.74581382016365
47,5,2,T Foie,7042.4,0.28,10957.6,120068997.76,3.3801603500186057,12.072001250066448,7.9412726514134935
48,5,4,T Rachis,3688.68,0.18,14311.32,204813880.1424,9.968339632310549,55.3796646239475,17.721542502081864
49,5,4,T1,5534.02,0.18,12465.98,155400657.3604,18.833915188008458,104.63286215560255,26.587118057779772
50,5,4,T2,4626.1,0.09,13373.9,178861201.20999998,14.47199090384985,160.799898931665,22.225193773621164
51,5,4,T3,3277.44,0.07,14722.56,216753772.9536,7.992617385177119,114.18024835967312,15.745820254948434
52,5,4,T4,2316.97,0.03,15683.03,245957429.98090002,3.378226891294599,112.6075630431533,11.131429761065913
53,5,4,T Foie,6519.98,0.28,11480.02,131790859.20040001,5.723819016271845,20.442210772399445,15.112836678874412
54,6,0,T Rachis,4552.52,0.18,13447.48,180834718.3504,3.821015509296457,21.227863940535872,5.931647911608736
55,6,0,T1,7138.21,0.18,10861.79,117978482.00410002,7.190007339879868,39.94448522155482,9.300639742192146
56,6,0,T2,6518.46,0.09,11481.54,131825760.77160002,6.382511976164933,70.91679973516592,8.493144378477213
57,6,0,T3,4261.39,0.07,13738.61,188749404.7321,3.4416913862818075,49.16701980402582,5.552323788594087
58,6,0,T4,2631.36,0.03,15368.64,236195095.44959998,1.317864572701727,43.92881909005757,3.4284969750140064
59,6,0,T Foie,7319.9,0.28,10680.1,114064536.01,2.216367106082343,7.9155968074369385,4.9535094605202605
60,6,2,T Rachis,4340.15,0.18,13659.85,186591502.0225,5.432661478081553,30.18145265600863,8.66124526042706
61,6,2,T1,6694.81,0.18,11305.189999999999,127807320.93609998,10.131643717155592,56.28690953975329,13.3602274995011
62,6,2,T2,5959.42,0.09,12040.58,144975566.7364,8.664092330206879,96.26769255785422,11.892676112552385
63,6,2,T3,4008.12,0.07,13991.880000000001,195772705.93440002,4.770059203086543,68.14370290123632,7.99864298543205
64,6,2,T4,2558.81,0.03,15441.19,238430348.6161,1.877802168562496,62.59340561874987,5.1063859509080025
65,6,2,T Foie,7124.31,0.28,10875.689999999999,118280632.97609997,3.083758507663162,11.01342324165415,7.1412347263013345
66,6,4,T Rachis,3752.74,0.18,14247.26,202984417.5076,9.593372908473764,53.29651615818758,16.834218042077246
67,6,4,T1,5536.08,0.18,12463.92,155349301.7664,17.593163568939993,97.73979760522218,24.83400870254348
68,6,4,T2,4650.69,0.09,13349.310000000001,178204077.47610003,13.621439358822911,151.34932620914347,20.862284492426394
69,6,4,T3,3292.58,0.07,14707.42,216308203.0564,7.529165482901446,107.55950689859208,14.770010616504928
70,6,4,T4,2307.24,0.03,15692.76,246262716.4176,3.109080849918506,103.63602833061687,10.349925983521988
71,6,4,T Foie,6581.54,0.28,11418.46,130381228.77159998,5.384849776262519,19.23160634379471,14.024163647986363
